Bab;Padişah Dönemi;Kişi;Sosyal Grup;İlişki Ağı (Genelde Kadınlar);NA Aile ilişkisi;NA Aile İlişkisi;NA Gelecek Nesil;Cinsiyet;Karar(Direkt);Karar (dolaylı);Etken Aktör;Sıfat-Söylem;Sıfat Değeri;Bizden;Öteki;Yaş;Ölüm Nedeni;;;;;;;;;;;;;;;
15;Osman Gazi;bir kişi;n/a;;;;;Erkek;n/a;Pazar akçe kanunu;1;Düşman;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
16;Osman Gazi;Gündüz;Subaşı;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
16;Osman Gazi;Hasan Alp;Gazi;;;;;Erkek;n/a;n/a;n/a;Yaray yoldaş;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
16;Osman Gazi;Turkut Alp;Gazi;;;;;Erkek;n/a;n/a;n/a;Aziz;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
16;Osman Gazi;Ala'addin Paşa;Paşa;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
17;Osman Gazi;Bursa teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;Azim leşker cem itdiler;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
17;Osman Gazi;Edrenos teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;Kaçdı;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
17;Osman Gazi;Bedenos teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;Düşdi;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
17;Osman Gazi;Kestel teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;Kaçdı;Olumsuz;-;Evet;;;;;;;;;;;;;;;;;
17;Osman Gazi;Kite teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;Kaçdı;Olumsuz;-;Evet;;;;;;;;;;;;;;;;;
17;Osman Gazi;Ulubat teküri;Tekür;;;;;ERkek;Köprüden geçiş ahdı;n/a;1;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
17;Osman Gazi;Aytogdı;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;Ceng;;;;;;;;;;;;;;;
18;Osman Gazi;Aktemür;Gazi;;;;;Erkek;n/a;n/a;n/a;Bahadır;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
21;Osman Gazi;Orhan Gāzi;Gazi;;;;;Erkek;n/a;n/a;n/a;Tatar'ı karvadı;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
21;Osman Gazi;Tatar Çavdar;n/a;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
21;Osman Gazi;Osman Gazi;Gazi;;;;;Erkek;Tatar'ı koyıvermek;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
21;Osman Gazi;Çavdar Tatar'ın oğlu;n/a;;;;;Erkek;n/a;n/a;n/a;Komşu;Olumlu;-;Evet;;;;;;;;;;;;;;;;;
21;Osman Gazi;Yıldırım;Han;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
22;Osman Gazi;Osman Gazi;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
22;Osman Gazi;Orhan Gāzi;Gazi;;;;;Erkek;Hisarı yagma idmek;n/a;n/a;Ceng idmek;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
22;Osman Gazi;Akça Koca;Gazi;;;;;Erkek;n/a;n/a;n/a;Aziz;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
