Bâb,Sultan,Nesne,Sahibi,Nitelik,Eylem,Kime / Kimden
2.0,Pre-Osman,At,Süleyman Şah,Binek Hayvan,Sahiplik,
2.0,Pre-Osman,Toprak (Domaniç ve İrmeni Bili),Sultan Alaeddin,Taşınılmaz / Toprak,İsâr,Ertuğrul Gazi
3.0,Osman Gazi,Yükceğiz,Osman Gazi,Kamu Esbabı,Emanet,Bilecük Kafiri
3.0,Osman Gazi,Öküz,Osman Gazi,Binek Hayvan,Sahiplik,
3.0,Osman Gazi,Peynir,Osman Gazi,Erzak,İsâr,Bilecük Kafiri
3.0,Osman Gazi,Halı,Osman Gazi,Kâlâ,İsâr,Bilecük Kafiri
3.0,Osman Gazi,Kilim,Osman Gazi,Kâlâ,İsâr,Bilecük Kafiri
3.0,Osman Gazi,Kuzu,Osman Gazi,Ağnam,İsâr,Bilecük Kafiri
4.0,Osman Gazi,Misafirhane,Şeyh Edebalı,Taşınılmaz / Toprak,Sahiplik,
4.0,Osman Gazi,Taht,Osman Gazi,İktidar,Sahiplik,
4.0,Osman Gazi,Köycüğez,Osman Gazi,Taşınılmaz / Toprak,İsâr,Derviş Tururoğlı
4.0,Osman Gazi,Kılıç,Osman Gazi,Seyfiye,İsâr,Derviş Tururoğlı
4.0,Osman Gazi,Maşraba,Osman Gazi,Kâlâ,İsâr,Derviş Tururoğlı
5.0,Osman Gazi,Kılıç,Osman Gazi,Seyfiye,Sahiplik,
5.0,Osman Gazi,Çan,Eynegöl Kafirleri,Dini,Sahiplik,
6.0,Osman Gazi,Yarak,Sultan Alaeddin,Seyfiye,İsâr,Osman Gazi
6.0,Osman Gazi,Ev,Osman Gazi,Taşınılmaz / Toprak,İsâr,Gaziler
8.0,Osman Gazi,Tuhfe,Osman Gazi,Kâlâ,İsâr,Sultan Alaeddin
8.0,Osman Gazi,Sancak Esbabı,Sultan Alaeddin,İktidar,İsâr,Osman Gazi
8.0,Osman Gazi,At,Sultan Alaeddin,Binek Hayvan,İsâr,Osman Gazi
8.0,Osman Gazi,Yarak,Sultan Alaeddin,Seyfiye,İsâr,Osman Gazi
9.0,Osman Gazi,Tulum,Osman Gazi,Erzak,İsâr,Bilecük Kafiri
9.0,Osman Gazi,Peynir,Osman Gazi,Erzak,İsâr,Bilecük Kafiri
9.0,Osman Gazi,Kaymak,Osman Gazi,Erzak,İsâr,Bilecük Kafiri
9.0,Osman Gazi,Halı,Osman Gazi,Kâlâ,İsâr,Bilecük Kafiri
9.0,Osman Gazi,Kilim,Osman Gazi,Kâlâ,İsâr,Bilecük Kafiri
9.0,Osman Gazi,Bardak,Bilecük Kafirleri,Kâlâ,Sahiplik,
9.0,Osman Gazi,Şeker,Osman Gazi,Erzak,İsâr,Gaziler
9.0,Osman Gazi,Şarap,Osman Gazi,Erzak,İsâr,Gaziler
10.0,Osman Gazi,At,Osman Gazi,Binek Hayvan,Sahiplik,
10.0,Osman Gazi,Altın,Gaziler,Kâlâ,Ganimet,Hırmenkaya Kafirleri
10.0,Osman Gazi,Gümüş,Gaziler,Kâlâ,Ganimet,Hırmenkaya Kafirleri
10.0,Osman Gazi,At,Gaziler,Binek Hayvan,Ganimet,Hırmenkaya Kafirleri
11.0,Osman Gazi,Yarak,Köse Mihal,Seyfiye,Sahiplik,
11.0,Osman Gazi,Saçu,Tekfurlar,Kâlâ,İsâr,Köse Mihal
11.0,Osman Gazi,Halı,Osman Gazi,Kâlâ,İsâr,Köse Mihal
11.0,Osman Gazi,Kilim,Osman Gazi,Kâlâ,İsâr,Köse Mihal
11.0,Osman Gazi,Koyun,Osman Gazi,Ağnam,İsâr,Köse Mihal
12.0,Osman Gazi,Koyun,Osman Gazi,Ağnam,İsâr,Bilecük Tekfuru
12.0,Osman Gazi,Saçu,Osman Gazi,Kâlâ,İsâr,Köse Mihal
12.0,Osman Gazi,Altın,Bilecük Tekfuru,Kâlâ,İsâr,Osman Gazi
12.0,Osman Gazi,Gümüş,Bilecük Tekfuru,Kâlâ,İsâr,Osman Gazi
12.0,Osman Gazi,Öküz,Osman Gazi,Binek Hayvan,Sahiplik,
12.0,Osman Gazi,Kılıç,Gaziler,Seyfiye,Sahiplik,
12.0,Osman Gazi,Baş Bezi,Gaziler,Kıyafet,Sahiplik,
13.0,Osman Gazi,Tekye,Lülüfer Hatun,Taşınılmaz / Toprak,Sahiplik,
13.0,Osman Gazi,Köprü,Lülüfer Hatun,Taşınılmaz / Toprak,Sahiplik,
14.0,Osman Gazi,Ev,Osman Gazi,Taşınılmaz / Toprak,İsâr,Germiyanlılar
14.0,Osman Gazi,Kılıç,Osman Gazi,Seyfiye,Sahiplik,
14.0,Osman Gazi,Sancak,Osman Gazi,İktidar,Sahiplik,
15.0,Osman Gazi,Bac,Osman Gazi,Resm,Sahiplik,
16.0,Osman Gazi,Toprak (Karacahisar),Osman Gazi,Taşınılmaz / Toprak,İsâr,Orhan Gazi
16.0,Osman Gazi,Toprak (Yarhisar),Osman Gazi,Taşınılmaz / Toprak,İsâr,Hasan Alp
16.0,Osman Gazi,Toprak (Eynegöl) ,Osman Gazi,Taşınılmaz / Toprak,İsâr,Turkut Alp
16.0,Osman Gazi,Toprak (Bilecük Timarı) ,Osman Gazi,Taşınılmaz / Toprak,İsâr,Şeyh Edebalı
16.0,Osman Gazi,Toprak (İznik Timarı),Osman Gazi,Taşınılmaz / Toprak,İsâr,Timar Erleri
20.0,Osman Gazi,At,Köse Mihal,Binek Hayvan,İsâr,Osman Gazi
20.0,Osman Gazi,Kılıç,Köse Mihal,Seyfiye,İsâr,Osman Gazi
20.0,Osman Gazi,Peşkeş,Köse Mihal,Kâlâ,İsâr,Osman Gazi
20.0,Osman Gazi,Hilat,Osman Gazi,İktidar,İsâr,Köse Mihal
21.0,Osman Gazi,At,Orhan Gazi,Binek Hayvan,Sahiplik,
22.0,Osman Gazi,At,Orhan Gazi,Binek Hayvan,Sahiplik,
22.0,Osman Gazi,Kılıç,Orhan Gazi,Seyfiye,Sahiplik,
22.0,Osman Gazi,At,Gaziler,Binek Hayvan,Sahiplik,
23.0,Osman Gazi,Filori,Baras Tekfur,Kâlâ,Harac,Osman Gazi
23.0,Osman Gazi,İp,Baras Tekfur,Kâlâ,Sahiplik,
23.0,Osman Gazi,Palas,Baras Tekfur,Kâlâ,Sahiplik,
23.0,Osman Gazi,Hazine,Baras Tekfur,Kâlâ,Harac,Osman Gazi
26.0,Osman Gazi,Libas,Tekfurun Kızı,Kâlâ,Sahiplik,
26.0,Osman Gazi,Harir,Tekfurun Kızı,Kâlâ,Sahiplik,
26.0,Osman Gazi,Mektub,Tekfurun Kızı,İletişim,Gönderme,Gazi Rahman
26.0,Osman Gazi,İp,Tekfurun Kızı,Kâlâ,Sahiplik,
26.0,Osman Gazi,Ok,Gaziler,Seyfiye,Sahiplik,
29.0,Orhan Gazi,Sırtak Tegele,Osman Gazi,Kâlâ,Miras,
29.0,Orhan Gazi,Yancı,Osman Gazi,Kâlâ,Miras,
29.0,Orhan Gazi,Tuzla,Osman Gazi,Taşınılmaz / Toprak,Miras,
29.0,Orhan Gazi,Kaşuklık,Osman Gazi,Kâlâ,Miras,
29.0,Orhan Gazi,Sokman ,Osman Gazi,Kâlâ,Miras,
29.0,Orhan Gazi,At,Osman Gazi,Binek Hayvan,Miras,
29.0,Orhan Gazi,Koyun,Osman Gazi,Ağnam,Miras,
29.0,Orhan Gazi,Eyer,Osman Gazi,Kâlâ,Miras,
29.0,Orhan Gazi,Depingi,Osman Gazi,Kâlâ,Miras,
29.0,Orhan Gazi,Tekye,Ahi Hasan,Taşınılmaz / Toprak,Sahiplik,
29.0,Orhan Gazi,Koyun,Osman Gazi,Ağnam,Miras,Orhan Gazi
29.0,Orhan Gazi,Toprak (Fodura Köyü),Orhan Gazi,Taşınılmaz / Toprak,İsâr,Ala'addin Paşa
29.0,Orhan Gazi,Tekye,Alaaddin Paşa,Taşınılmaz / Toprak,Sahiplik,
29.0,Orhan Gazi,Mescid,Alaaddin Paşa,Taşınılmaz / Toprak,Sahiplik,
30.0,Orhan Gazi,Toprak (Kandırı Sancağı),Orhan Gazi,Taşınılmaz / Toprak,İsâr,Süleyman Paşa
30.0,Orhan Gazi,Toprak (İnönü Sancağı),Orhan Gazi,Taşınılmaz / Toprak,İsâr,Murad I
30.0,Orhan Gazi,Toprak (Yalakovası) ,Yalakonya,Taşınılmaz / Toprak,Sahiplik,
30.0,Orhan Gazi,Toprak (Deredeki Hisar),Yalakonya,Taşınılmaz / Toprak,Sahiplik,
30.0,Orhan Gazi,Toprak (Koyunhisar),Kalayun,Taşınılmaz / Toprak,Sahiplik,
30.0,Orhan Gazi,Ok,Gaziler,Seyfiye,Sahiplik,
30.0,Orhan Gazi,Toprak (İznikmid),Orhan Gazi,Taşınılmaz / Toprak,İsâr,Karamürsel
30.0,Orhan Gazi,Toprak (Ermen Bazarı),Orhan Gazi,Taşınılmaz / Toprak,İsâr,Yahşılu
30.0,Orhan Gazi,Toprak (Kandırı Vilayeti) ,Orhan Gazi,Taşınılmaz / Toprak,İsâr,Akbaş
30.0,Orhan Gazi,Tekye,Fazlullah Kadı,Taşınılmaz / Toprak,Sahiplik,
31.0,Orhan Gazi,Kızıl Börk,Leşker,Seyfiye,Sahiplik,
31.0,Orhan Gazi,Ak Börk,Leşker,Seyfiye,Sahiplik,
31.0,Orhan Gazi,Burma Dülbend,Divan Beyleri,İktidar,Sahiplik,
31.0,Orhan Gazi,Börk,Divan Beyleri,Seyfiye,Sahiplik,
31.0,Orhan Gazi,Şevgüle,Divan Beyleri,Kâlâ,Sahiplik,
31.0,Orhan Gazi,Tarak,Divan Beyleri,Kâlâ,Sahiplik,
31.0,Orhan Gazi,Merkep,Divan Beyleri,Binek Hayvan,Sahiplik,
31.0,Orhan Gazi,Eşek,Divan Beyleri,Binek Hayvan,Sahiplik,
32.0,Orhan Gazi,Gemi,İznik Tekfuru,Deniz Taşıtı,Sahiplik,
32.0,Orhan Gazi,Ev,İznik Tekfuru,Taşınılmaz / Toprak,Ganimet,Orhan Gazi
33.0,Orhan Gazi,İmaret,Orhan Gazi,Taşınılmaz / Toprak,İsâr,Gaziler
33.0,Orhan Gazi,Taam,Orhan Gazi,Erzak,İsâr,Gaziler
33.0,Orhan Gazi,Medrese,Orhan Gazi,Taşınılmaz / Toprak,İsâr,Gaziler
33.0,Orhan Gazi,Taht,Orhan Gazi,İktidar,Sahiplik,
34.0,Orhan Gazi,Toprak (İznikmid),Orhan Gazi,Taşınılmaz / Toprak,İsâr,Süleyman Paşa
34.0,Orhan Gazi,Toprak (Bursa),Orhan Gazi,Taşınılmaz / Toprak,İsâr,Murad I
34.0,Orhan Gazi,Toprak (Karacahisar),Orhan Gazi,Taşınılmaz / Toprak,İsâr,Gündüz
35.0,Orhan Gazi,Peşkeş,Klasemtorya,Kâlâ,İsâr,Orhan Gazi
36.0,Orhan Gazi,Ok,Gaziler,Seyfiye,Sahiplik,
36.0,Orhan Gazi,Defter,Orhan Gazi,Dini,Sahiplik,
36.0,Orhan Gazi,At,Gaziler,Binek Hayvan,Sahiplik,
36.0,Orhan Gazi,Kemend,Gaziler,Binek Aksesuarı,Sahiplik,
36.0,Orhan Gazi,Defter,Karasi Tekfuru,Dini,Sahiplik,
37.0,Orhan Gazi,Sikke,Orhan Gazi,İktidar,Sahiplik,
37.0,Orhan Gazi,Toprak (Karasi),Orhan Gazi,Taşınılmaz / Toprak,İsâr,Süleyman Paşa
38.0,Orhan Gazi,İmaret,Orhan Gazi,Taşınılmaz / Toprak,Sahiplik,
38.0,Orhan Gazi,Kavak Ağacı,Geyüklü Derviş,Taşınılmaz / Toprak,İsâr,Orhan Gazi
38.0,Orhan Gazi,Tepecik Yer,Orhan Gazi,Taşınılmaz / Toprak,İsâr,Geyüklü Derviş
38.0,Orhan Gazi,Tekye,Orhan Gazi,Taşınılmaz / Toprak,İsâr,Geyüklü Derviş
38.0,Orhan Gazi,Cami,Orhan Gazi,Taşınılmaz / Toprak,İsâr,Geyüklü Derviş
38.0,Orhan Gazi,Sal,Gazi Fazıl,Deniz Taşıtı,Sahiplik,
38.0,Orhan Gazi,Hilat,Süleyman Şah,İktidar,İsâr,Virança Kafiri
38.0,Orhan Gazi,Gemi,Virança Tekfuru,Deniz Taşıtı,Ganimet,Orhan Gazi
38.0,Orhan Gazi,At,Ece Bey,Binek Hayvan,Sahiplik,
38.0,Orhan Gazi,Gemi,Virança Tekfuru,Deniz Taşıtı,Ganimet,Orhan Gazi
38.0,Orhan Gazi,Gemi,Aydıncık Halkı,Deniz Taşıtı,Sahiplik,
38.0,Orhan Gazi,Ev,Virança Tekfuru,Taşınılmaz / Toprak,Ganimet,Gaziler
38.0,Orhan Gazi,Gemi,Gelibolu Kafirleri,Deniz Taşıtı,Sahiplik,
38.0,Orhan Gazi,İbrik,Gaziler,Kâlâ,Sahiplik,
38.0,Orhan Gazi,Gümüş,Gaziler,Kâlâ,Sahiplik,
38.0,Orhan Gazi,Altın,Gaziler,Kâlâ,Sahiplik,
40.0,Orhan Gazi,At,Konurhisar Tekfuru,Binek Hayvan,Sahiplik,
40.0,Orhan Gazi,Kılıç,Gaziler,Seyfiye,Sahiplik,
40.0,Orhan Gazi,Toprak (Gelibolu),Orhan Gazi,Taşınılmaz / Toprak,İsâr,Gazi Fazıl
40.0,Orhan Gazi,Hazine,Kafirler,Kâlâ,Ganimet,Orhan Gazi
41.0,Orhan Gazi,Toprak (Konur),Hacı İlbeg,Taşınılmaz / Toprak,İsâr,Orhan Gazi
41.0,Orhan Gazi,Ok,Süleyman Paşa,Seyfiye,Sahiplik,
41.0,Orhan Gazi,At,Süleyman Paşa,Binek Hayvan,Sahiplik,
42.0,Orhan Gazi,Ok,Gaziler,Seyfiye,Sahiplik,
42.0,Orhan Gazi,Peşkeş,Misini Tekfuru,Kâlâ,İsâr,Orhan Gazi
43.0,Murad I,At,Gaziler,Binek Hayvan,Sahiplik,
44.0,Murad I,Kayık,Edrene Takfuru,Deniz Taşıtı,Sahiplik,
45.0,Murad I,Taht,Murad I,İktidar,Sahiplik,
45.0,Murad I,Esir,Gaziler,İş Gücü,Sahiplik,
45.0,Murad I,Akça,Murad I,Resm,Sahiplik,
45.0,Murad I,Ak Börk,Yeniçeri,Seyfiye,Sahiplik,
47.0,Murad I,Gemi,Murad I,Deniz Taşıtı,Sahiplik,
47.0,Murad I,Gemi,Aydıncık Halkı,Deniz Taşıtı,Sahiplik,
47.0,Murad I,Esir,Gaziler,İş Gücü,Ganimet,Kafirler
47.0,Murad I,Ev,Gaziler,Taşınılmaz / Toprak,Ganimet,Kafirler
48.0,Murad I,At,Kafirler,Binek Hayvan,Sahiplik,
48.0,Murad I,İmaret,Murad I,Taşınılmaz / Toprak,Sahiplik,
48.0,Murad I,Zaviye,Murad I,Taşınılmaz / Toprak,İsâr,Postinpuş
48.0,Murad I,Mescid,Murad I,Taşınılmaz / Toprak,Sahiplik,
48.0,Murad I,Cami,Murad I,Taşınılmaz / Toprak,Sahiplik,
48.0,Murad I,Medrese,Murad I,Taşınılmaz / Toprak,Sahiplik,
49.0,Murad I,Peşkeş,İshak Faki,Kâlâ,İsâr,Murad I
49.0,Murad I,Altın,İshak Faki,Kâlâ,Sahiplik,
49.0,Murad I,Gümüş,İshak Faki,Kâlâ,Sahiplik,
49.0,Murad I,Ak Bez,İshak Faki,Kâlâ,İsâr,Murad I
49.0,Murad I,Hilat,İshak Faki,İktidar,Sahiplik,
49.0,Murad I,Sırtak Tegele,İshak Faki,Kâlâ,İsâr,Murad I
49.0,Murad I,Kızıl İvledi Sincef,İshak Faki,Kâlâ,İsâr,Murad I
49.0,Murad I,Toprak (Kütahya),Germiyanoğlu,Taşınılmaz / Toprak,Çeyiz,Sultan Hatun
49.0,Murad I,Toprak (Simav),Germiyanoğlu,Taşınılmaz / Toprak,Çeyiz,Sultan Hatun
49.0,Murad I,Toprak (Eğrigöz),Germiyanoğlu,Taşınılmaz / Toprak,Çeyiz,Sultan Hatun
49.0,Murad I,Toprak (Tavşanlı),Germiyanoğlu,Taşınılmaz / Toprak,Çeyiz,Sultan Hatun
50.0,Murad I,At,Etrafın Beyleri,Binek Hayvan,İsâr,Murad I
50.0,Murad I,Katır,Etrafın Beyleri,Binek Hayvan,İsâr,Murad I
50.0,Murad I,Deve,Etrafın Beyleri,Binek Hayvan,İsâr,Murad I
50.0,Murad I,Tuhfe ,Mısır Sultanı,Kâlâ,İsâr,Murad I
50.0,Murad I,Cariye,Gazi Evrenos,İş Gücü,İsâr,Murad I
50.0,Murad I,Gümüş Tepsi,Gazi Evrenos,Kâlâ,İsâr,Murad I
50.0,Murad I,Filori,Gazi Evrenos,Kâlâ,İsâr,Murad I
50.0,Murad I,Altın Tepsi,Gazi Evrenos,Kâlâ,İsâr,Murad I
50.0,Murad I,Gümüş Maşraba,Gazi Evrenos,Kâlâ,İsâr,Murad I
50.0,Murad I,İbrik,Gazi Evrenos,Kâlâ,İsâr,Murad I
50.0,Murad I,Altın,Murad I,Kâlâ,İsâr,Elçi
50.0,Murad I,Gümüş,Murad I,Kâlâ,İsâr,Elçi
50.0,Murad I,At,Murad I,Binek Hayvan,İsâr,Gazi Evrenos
50.0,Murad I,Filori,Murad I,Kâlâ,İsâr,Gazi Evrenos
50.0,Murad I,Koyun,Murad I,Ağnam,Sahiplik,
50.0,Murad I,Akça,Murad I,Kâlâ,Sahiplik,
50.0,Murad I,Öküz,Murad I,Ağnam,Sahiplik,
51.0,Murad I,At,Gelin,Binek Hayvan,Sahiplik,
52.0,Murad I,Mektub,Hamidoğlu,İletişim,Gönderme,Murad I
53.0,Murad I,Altın Tepsi,Murad I,Kâlâ,Ganimet,Polanya Kafirleri
53.0,Murad I,Gümüş Tepsi,Murad I,Kâlâ,Ganimet,Polanya Kafirleri
53.0,Murad I,Filori,Murad I,Kâlâ,Ganimet,Polanya Kafirleri
53.0,Murad I,Akça,Murad I,Kâlâ,Ganimet,Polanya Kafirleri
53.0,Murad I,Altın Tas,Murad I,Kâlâ,Ganimet,Polanya Kafirleri
53.0,Murad I,Gümüş Tas,Murad I,Kâlâ,Ganimet,Polanya Kafirleri
53.0,Murad I,Üsküf,Gaziler,Seyfiye,Ganimet,Polanya Kafirleri
55.0,Murad I,Kılıç,Gaziler,Seyfiye,Sahiplik,
55.0,Murad I,Nişter,Gaziler,Seyfiye,Sahiplik,
56.0,Murad I,Armağan,Laz Kralı,Kâlâ,İsâr,Murad I
56.0,Murad I,Yarak,Murad I,Seyfiye,Sahiplik,
56.0,Murad I,Yarak,Laz Kralı,Seyfiye,Sahiplik,
56.0,Murad I,Toprak (Kütahya),Bayezid I,Taşınılmaz / Toprak,Sahiplik,
56.0,Murad I,Toprak (Hamidili),Bayezid I,Taşınılmaz / Toprak,Sahiplik,
56.0,Murad I,Toprak (Karasi),Yakup Çelebi,Taşınılmaz / Toprak,Sahiplik,
56.0,Murad I,Sancak,Murad I,İktidar,Sahiplik,
56.0,Murad I,Kös,Gaziler,Seyfiye,Sahiplik,
56.0,Murad I,At,Gaziler,Binek Hayvan,Sahiplik,
56.0,Murad I,Şapka,Miloş Küpile,Kıyafet,Sahiplik,
56.0,Murad I,Taht,Bayezid I,İktidar,Sahiplik,
56.0,Murad I,Cülus,Bayezid I,İktidar,Sahiplik,
57.0,Bayezid I,Cülus,Bayezid I,İktidar,Sahiplik,
57.0,Bayezid I,Esir,Bayezid I,İş Gücü,Sahiplik,
57.0,Bayezid I,Meblağ,Bayezid I,Kâlâ,Sahiplik,
57.0,Bayezid I,Cami,Bayezid I,Taşınılmaz / Toprak,Sahiplik,
57.0,Bayezid I,Medrese,Bayezid I,Taşınılmaz / Toprak,Sahiplik,
57.0,Bayezid I,Bimarhane,Bayezid I,Taşınılmaz / Toprak,Sahiplik,
57.0,Bayezid I,Zaviye,Bayezid I,Taşınılmaz / Toprak,Sahiplik,
58.0,Bayezid I,Sikke,Bayezid I,İktidar,Sahiplik,
58.0,Bayezid I,Ayasulug,Bayezid I,Taşınılmaz / Toprak,İsâr,Kullar
59.0,Bayezid I,Mektub,Casus,İletişim,Sahiplik,
59.0,Bayezid I,Mancılık,Bayezid I,Seyfiye,Sahiplik,
59.0,Bayezid I,Top,Mehmed II,Seyfiye,Sahiplik,
59.0,Bayezid I,Mancılık,Bayezid I,Seyfiye,Sahiplik,
59.0,Bayezid I,Esir,Gaziler,İş Gücü,Ganimet,Kafirler
60.0,Bayezid I,Balık,İstanbul Tekfuru,Erzak,İsâr,Bayezid I
60.0,Bayezid I,Altın,İstanbul Tekfuru,Kâlâ,İsâr,Bayezid I
60.0,Bayezid I,Gümüş,İstanbul Tekfuru,Kâlâ,İsâr,Bayezid I
60.0,Bayezid I,Filori,İstanbul Tekfuru,Kâlâ,Harac,Bayezid I
61.0,Bayezid I,İmaret,Bayezid I,Taşınılmaz / Toprak,Sahiplik,
61.0,Bayezid I,İmaret,Bayezid I,Taşınılmaz / Toprak,Sahiplik,
62.0,Bayezid I,Armağan,Laz Despotu,Kâlâ,İsâr,Bayezid I
62.0,Bayezid I,Taht,Bayezid I,İktidar,Sahiplik,
62.0,Bayezid I,Mektub,Laz Despotu,İletişim,Gönderme,Bayezid I
62.0,Bayezid I,Şarap,Bayezid I,Kâlâ,Sahiplik,
62.0,Bayezid I,Kebap,Bayezid I,Erzak,Sahiplik,
62.0,Bayezid I,Kadeh,Bayezid I,Kâlâ,Sahiplik,
62.0,Bayezid I,Akça,Gaziler,Kâlâ,Sahiplik,
62.0,Bayezid I,Düşelik,Kadılar,Resm,Sahiplik,
62.0,Bayezid I,Akça ,Kadılar,Resm,Sahiplik,
63.0,Bayezid I,Arpa,Konya Halkı,Erzak,Sahiplik,
63.0,Bayezid I,Buğday,Konya Halkı,Erzak,Sahiplik,
63.0,Bayezid I,Saman,Konya Halkı,Erzak,Sahiplik,
63.0,Bayezid I,At,Bayezid I,Binek Hayvan,Sahiplik,
65.0,Bayezid I,Toprak (Sivaz),Bayezid I,Taşınılmaz / Toprak,İsâr,Emir Süleyman
66.0,Bayezid I,Tuzla,Surhan Göçerleri,Taşınılmaz / Toprak,Sahiplik,
66.0,Bayezid I,Kanun,Bayezid I,İktidar,Sahiplik,
66.0,Bayezid I,Defter,Bayezid I,Dini,Sahiplik,
66.0,Bayezid I,Öküz,Bayezid I,Binek Hayvan,Sahiplik,
66.0,Bayezid I,Katır,Bayezid I,Binek Hayvan,Sahiplik,
66.0,Bayezid I,Altın,Bayezid I,Kâlâ,Sahiplik,
66.0,Bayezid I,Gümüş,Bayezid I,Kâlâ,Sahiplik,
66.0,Bayezid I,Bakır,Bayezid I,Kâlâ,Sahiplik,
66.0,Bayezid I,Yarak,Bayezid I,Seyfiye,Sahiplik,
66.0,Bayezid I,Mektub,Timur,İletişim,Gönderme,Bayezid I
66.0,Bayezid I,Armağan,Timur,Kâlâ,İsâr,Bayezid I
66.0,Bayezid I,Cevabname,Bayezid I,İletişim,Gönderme,Timur
66.0,Bayezid I,Yarak,Bayezid I,Seyfiye,Sahiplik,
66.0,Bayezid I,Kös,Bayezid I,Seyfiye,Sahiplik,
66.0,Bayezid I,At,Bayezid I,Binek Hayvan,Sahiplik,
66.0,Bayezid I,At,Timur,Binek Hayvan,Sahiplik,
66.0,Bayezid I,Çadır,Timur,Kâlâ,Sahiplik,
66.0,Bayezid I,Halı,Timur,Kâlâ,Sahiplik,
66.0,Bayezid I,At,Timur,Binek Hayvan,Sahiplik,
67.0,Fetret,At,Mehmed I,Binek Hayvan,İsâr,Emir Süleyman
67.0,Fetret,Cariye,Emir Süleyman,İş Gücü,İsâr,Mehmed I
67.0,Fetret,Kavak Ağacı,Emir Süleyman,Taşınılmaz / Toprak,Sahiplik,
67.0,Fetret,Şarap,Ali Paşa,Erzak,Sahiplik,
67.0,Fetret,Saz,Emir Süleyman,Müzik Aleti,Sahiplik,
68.0,Fetret,Taht,Musa,İktidar,Sahiplik,
68.0,Fetret,Taht,Mehmed I,İktidar,Sahiplik,
69.0,Fetret,Gemi,İstanbul Tekfuru,Deniz Taşıtı,Sahiplik,
69.0,Fetret,At,Musa,Binek Hayvan,Sahiplik,
69.0,Fetret,Çadır,Mehmed I,Kâlâ,Sahiplik,
69.0,Fetret,Akça,Mehmed I,Kâlâ,Sahiplik,
69.0,Fetret,Ulufe,Mehmed I,İktidar,Sahiplik,
70.0,Fetret,Yarak,Karamanoğlu,Seyfiye,Sahiplik,
72.0,Mehmed I,Azık,Germiyanoğlu,Erzak,Sahiplik,
73.0,Mehmed I,Hilat,Mehmed I,İktidar,İsâr,Karamanoğlu
73.0,Mehmed I,Sancak,Mehmed I,İktidar,İsâr,Karamanoğlu
73.0,Mehmed I,At,Mehmed I,Binek Hayvan,İsâr,Karamanoğlu
73.0,Mehmed I,Katır,Mehmed I,Binek Hayvan,İsâr,Karamanoğlu
73.0,Mehmed I,Deve,Mehmed I,Binek Hayvan,İsâr,Karamanoğlu
73.0,Mehmed I,At,Karamanoğlu,Binek Hayvan,Sahiplik,
74.0,Mehmed I,Harac,Eflak Beyi,Kâlâ,Harac,Mehmed I
74.0,Mehmed I,Bakır Küre,Karamanoğlu,Kâlâ,Sahiplik,
75.0,Mehmed I,Hilat,Mehmed I,İktidar,İsâr,
75.0,Mehmed I,Nimet,Mehmed I,Kâlâ,İsâr,
77.0,Mehmed I,Gemi,Simavna Kadısı Oğlu,Deniz Taşıtı,Sahiplik,
77.0,Mehmed I,Taht,Simavna Kadısı Oğlu,İktidar,Sahiplik,
77.0,Mehmed I,Sancak,Simavna Kadısı Oğlu,İktidar,Sahiplik,
78.0,Mehmed I,Ok,Danişmend,Seyfiye,Sahiplik,
79.0,Mehmed I,Ev,Mehmed I,Taşınılmaz / Toprak,İsâr,Müslümanlar
